TrendDate,speed,load,pressure,temp1,temp2,temp3,temp4
2026-04-21 09:53:00+00,96.19999695,62.20000076,256.1000061,173.6000061,176.1999969,174,176.5
2026-04-21 09:54:00+00,92.5,60.79999924,264,173.8000031,176.3000031,173.8000031,176.6000061
2026-04-27 18:59:00+00,94.90000153,60.70000076,239.1999969,175.1999969,175.3000031,173.5,176.3000031
2026-04-27 19:01:00+00,92,61,240.5,175.6999969,176,174.3000031,176.3000031
2026-04-27 20:12:00+00,101.0999985,63.70000076,228.6999969,174.6999969,175.5,174.1000061,175.6999969
2026-04-27 20:16:00+00,92.40000153,61.40000153,241,174.6000061,175.3000031,173.1000061,174
2026-04-27 20:19:00+00,92.69999695,60.20000076,240.8999939,174.8999939,175.1000061,173.8000031,173.8000031
2026-04-27 20:26:00+00,93.80000305,60.90000153,241.8000031,174.8999939,175,173.8000031,174.5
2026-04-27 20:42:00+00,91.19999695,60.70000076,241.6999969,175,175,175,175
2026-04-27 21:09:00+00,87.5,60.09999847,241,175,175,174.8000031,175
2026-04-27 22:22:00+00,94.40000153,61.79999924,240.8000031,174.6999969,174.8000031,175.1999969,175
2026-04-27 22:42:00+00,93,60.70000076,243.3000031,175,175,175,174.8000031
2026-04-27 22:48:00+00,94.59999847,61.70000076,242.8999939,175,175,174.8999939,175.1000061
2026-04-28 01:33:00+00,90.80000305,60,246.3000031,175.1999969,175.1000061,175.1999969,175
2026-04-28 01:34:00+00,91.90000153,60.09999847,247.5,175.1000061,175.1999969,175.1000061,175
2026-04-28 01:36:00+00,93.5,60.29999924,249.3999939,174.8999939,175.1000061,175,174.8000031
2026-04-28 01:42:00+00,94.5,60,250.5,175.1999969,175.1999969,174.8999939,175.1000061
2026-04-28 01:43:00+00,97.19999695,62.09999847,251.3000031,175,175.1999969,174.8999939,174.8000031
2026-04-28 01:47:00+00,93.19999695,61.5,249.6999969,175.1999969,175,175.1000061,175.5
2026-04-28 01:53:00+00,93.69999695,61.5,249.6000061,175.1999969,175,174.8999939,175
2026-04-28 01:54:00+00,91.30000305,60,250.6000061,175,174.8000031,174.8000031,175
2026-04-28 01:55:00+00,93.90000153,60.79999924,252.1000061,174.8000031,174.8000031,174.8999939,175.1000061
2026-04-28 01:57:00+00,90.30000305,60,252.3000031,175,174.6999969,175,174.8000031
2026-04-28 01:58:00+00,92,60.90000153,251.1000061,174.8999939,174.6999969,175,174.8000031
2026-04-28 01:59:00+00,92.09999847,60,249.6999969,175.1000061,174.6999969,175,174.8999939
2026-04-28 02:03:00+00,95.40000153,60.40000153,250.5,174.8000031,174.8000031,175,174.6999969
2026-04-28 02:04:00+00,92.09999847,61.29999924,250,175,174.8000031,174.8999939,174.8999939
2026-04-28 02:05:00+00,94,61.5,248.6999969,175.1999969,175.1000061,175,175
2026-04-28 02:06:00+00,92.80000305,60.09999847,247.3999939,175,175,175,175
2026-04-28 02:07:00+00,97.80000305,61,247,174.8999939,175,175,175
2026-04-28 02:09:00+00,94.69999695,61,249.6999969,175.1999969,174.8999939,175.1000061,175
2026-04-28 02:10:00+00,91.80000305,60.70000076,248.6000061,175.1000061,174.8999939,175.1000061,175
2026-04-28 02:11:00+00,93.80000305,61.09999847,248,174.8000031,174.8999939,175.1000061,175
2026-04-28 02:13:00+00,92,60.79999924,248.6999969,174.8000031,174.8999939,174.8999939,174.8999939
2026-04-28 02:14:00+00,91.40000153,60.09999847,250,175,174.8999939,174.8999939,174.8000031
2026-04-28 02:15:00+00,94.09999847,61.20000076,250.6000061,175.1000061,174.8999939,175,175
2026-04-28 02:16:00+00,91.69999695,61.09999847,250.3999939,175,175,175.1000061,175.1000061
2026-04-28 02:17:00+00,92.19999695,60.70000076,249.8000031,174.8999939,175.1000061,175.1999969,175.1000061
2026-04-28 02:18:00+00,96.30000305,61.90000153,248.8999939,174.8999939,175.1000061,175.1999969,175.1000061
2026-04-28 02:19:00+00,93.69999695,61.40000153,249.6000061,175,175,175.1999969,175.1999969
2026-04-28 02:20:00+00,92.59999847,61.20000076,250.3999939,175.1999969,175.1000061,175.1999969,175.1999969
2026-04-28 02:21:00+00,92.90000153,60.90000153,250.8000031,175.1000061,175.1000061,175.1999969,175.1000061
2026-04-28 02:22:00+00,93.59999847,61.29999924,251.1999969,175.1000061,175,175.1000061,175
2026-04-28 02:23:00+00,92.80000305,61.59999847,250.8000031,175,175,175,174.8999939
2026-04-28 02:24:00+00,93.30000305,61.40000153,250,175,175,175,174.8999939
2026-04-28 02:25:00+00,95.40000153,61.29999924,249.6999969,175.1000061,175.1000061,175,175
2026-04-28 02:26:00+00,97.80000305,62.29999924,249.1000061,175.1000061,175.1000061,174.8999939,175.1000061
2026-04-28 02:27:00+00,91.69999695,60.5,249.6000061,174.8999939,175.1000061,174.8999939,175
2026-04-28 02:28:00+00,93.40000153,62.70000076,250.1999969,174.8999939,175,174.8999939,174.8999939
2026-04-28 02:29:00+00,100.5,64.30000305,249.6000061,175.1000061,175,174.8999939,175
2026-04-28 02:30:00+00,93.30000305,60.70000076,248.6000061,175.1999969,175,174.8999939,175
2026-04-28 02:34:00+00,89.19999695,60.29999924,250.6000061,175.1000061,175,175,174.8000031
2026-04-28 02:35:00+00,93.19999695,60,251.5,175.1999969,175.1999969,175,174.8000031
2026-04-28 02:36:00+00,91.40000153,60.40000153,250.5,175,175.1000061,175,174.8000031
2026-04-28 02:39:00+00,96.80000305,61.5,248.3999939,174.8000031,174.8000031,174.8999939,174.8000031
2026-04-28 02:40:00+00,93.09999847,61.40000153,249.3999939,175.1000061,175,174.8999939,174.8999939
2026-04-28 02:41:00+00,91.40000153,61.79999924,250,175,175.1000061,175,175
2026-04-28 02:42:00+00,92.69999695,60.79999924,250.1999969,175,175.1000061,174.8999939,175
2026-04-28 02:43:00+00,94.80000305,61.40000153,249.8999939,175,175,174.8999939,174.8000031
2026-04-28 02:44:00+00,94.69999695,60.70000076,248.8999939,175.1999969,175,174.8999939,174.8000031
2026-04-28 02:46:00+00,93.09999847,60.29999924,249,174.8999939,174.8000031,174.8999939,175
2026-04-28 02:50:00+00,91.40000153,61.5,249.6000061,175.1999969,175.1999969,175,174.8000031
2026-04-28 02:54:00+00,93.40000153,60,251.1000061,175.1000061,175,175.1000061,175.1999969
2026-04-28 03:00:00+00,89.19999695,61,250.8000031,175.1000061,174.8999939,175,175
