TrendDate,speed,load,pressure,temp1,temp2,temp3,temp4
2026-04-23 17:40:00+00,70.59999847,46.79999924,243.1000061,174.8000031,175.1000061,174.5,174.8999939
2026-04-23 17:39:00+00,70.90000153,45.59999847,244.1000061,175.1000061,175,174.5,175.1000061
2026-04-23 17:38:00+00,68.59999847,44.70000076,244.8000031,175,175,175.6999969,175.1999969
2026-04-23 17:37:00+00,69.69999695,45.20000076,245.1999969,174.8999939,174.8000031,175.6999969,175
2026-04-23 17:36:00+00,67.30000305,45.29999924,245.3999939,175.1000061,174.8999939,175,175
2026-04-23 17:35:00+00,70.59999847,45,244.3000031,175.1999969,175.1000061,175,175
2026-04-23 17:34:00+00,71.80000305,45.90000153,243.1000061,175.3000031,175.1999969,174.5,175
2026-04-23 17:33:00+00,70.69999695,45.40000153,243.5,175,175,174.1999969,174.8000031
2026-04-23 17:32:00+00,70.5,45.40000153,243.8000031,175,175,174.3999939,174.8000031
2026-04-23 17:31:00+00,70.69999695,45.79999924,245.1999969,174.6999969,174.8000031,174.8000031,174.8000031
2026-04-23 17:30:00+00,70.19999695,45,244.8000031,174.6999969,174.8999939,174.8999939,175
2026-04-23 17:29:00+00,72.80000305,47.5,243.3000031,175,175.1000061,175.1999969,175.1999969
2026-04-23 17:28:00+00,73.69999695,46.70000076,242.3000031,175.1000061,175.1999969,175.1999969,175.1999969
2026-04-23 17:27:00+00,71.80000305,45.90000153,243.3000031,175.1000061,175.1999969,174.8999939,175
2026-04-23 17:26:00+00,70,45.5,243.6000061,175.1000061,175.1000061,174.5,175
2026-04-23 17:25:00+00,68.40000153,44.5,244.8999939,175.1000061,174.8999939,174.3000031,174.8999939
2026-04-23 17:24:00+00,69.30000305,45.20000076,245.1999969,175,174.8000031,174.3999939,174.8999939
2026-04-23 17:23:00+00,72.19999695,46.70000076,244.3999939,174.6999969,175,174.6000061,175
2026-04-23 17:22:00+00,72.09999847,47.20000076,244.1999969,175,175,174.6000061,175.1999969
2026-04-23 17:21:00+00,69.40000153,45.29999924,243.1999969,175,175.1000061,174.5,175.1000061
2026-04-23 17:20:00+00,71.09999847,46,243.1999969,175,175,174.6999969,175
2026-04-23 17:19:00+00,69.30000305,45.59999847,243.6000061,175.1999969,174.8999939,174.8000031,175
2026-04-23 17:18:00+00,69.80000305,45.20000076,245.1000061,175,175,174.3000031,175
2026-04-23 17:17:00+00,68.40000153,45.40000153,245.6999969,174.8000031,175.1999969,173.6000061,175.1999969
2026-04-23 17:16:00+00,70.90000153,46.5,244.3999939,175,175.1999969,174,175.1000061
2026-04-23 17:15:00+00,73.90000153,46.59999847,242.6999969,175,175.1000061,174.8000031,175
2026-04-23 17:14:00+00,69.40000153,46.59999847,242.3999939,175,175,175.5,175
2026-04-23 17:13:00+00,73.09999847,46.09999847,242.6000061,174.8999939,174.8000031,175.5,175
2026-04-23 17:12:00+00,68.5,46.5,243.6999969,174.8000031,174.8999939,174.8999939,175.1000061
2026-04-23 17:11:00+00,69.80000305,43.70000076,244.1000061,175,175,174.6999969,175.1999969
2026-04-23 17:10:00+00,71,46.09999847,244.1999969,175,175,174.5,175.1000061
2026-04-23 17:09:00+00,72,46.40000153,244,175.1000061,175,174.5,175
2026-04-23 17:08:00+00,73.5,47.29999924,242.8999939,175.1999969,174.8999939,174.6000061,175
2026-04-23 17:07:00+00,69.19999695,46.90000153,241.3000031,175.1000061,174.8000031,174.3000031,174.8999939
2026-04-23 17:06:00+00,71.30000305,45.70000076,242.3000031,174.8999939,175,174.5,175
2026-04-23 17:05:00+00,71,45.40000153,243.3999939,174.8000031,175,174.6999969,175
2026-04-23 17:04:00+00,71.59999847,45.09999847,244.6000061,175,174.8999939,174.8999939,175
2026-04-23 17:03:00+00,71.59999847,48.59999847,244,175.1999969,174.8000031,174.6999969,175
2026-04-23 17:02:00+00,68.80000305,46.09999847,243.3999939,175.1000061,175,175,174.8000031
2026-04-23 17:01:00+00,74.40000153,46.79999924,243,174.8999939,175,174.1999969,174.6999969
2026-04-23 17:00:00+00,66.09999847,44.79999924,243.1999969,174.8999939,175.1000061,173.6999969,174.8999939
2026-04-23 16:59:00+00,69.30000305,45.09999847,244.1999969,175.1999969,175,174.1999969,175
2026-04-23 16:58:00+00,70.19999695,46.40000153,244.8999939,175.1999969,174.8999939,174.3000031,175.1000061
2026-04-23 16:57:00+00,72.69999695,46.40000153,244.8000031,175,174.8000031,174.8999939,175
2026-04-23 16:56:00+00,70.59999847,45.29999924,242.1999969,174.8000031,174.8999939,175.3000031,175
2026-04-23 16:55:00+00,73.5,46.09999847,243.1000061,174.8999939,175.1000061,174.5,175
2026-04-23 16:54:00+00,69.90000153,45.59999847,243,175.1000061,175.3999939,174.3000031,175
2026-04-23 16:53:00+00,66.40000153,45.09999847,242.8999939,175.1000061,175.3999939,174.3000031,175
2026-04-23 16:52:00+00,76.59999847,47,243.6999969,175.3000031,175.3000031,174.3000031,175
2026-04-23 16:51:00+00,69.19999695,45.90000153,244.3999939,175.1999969,175.1999969,174,174.8000031
2026-04-23 16:50:00+00,73.30000305,46.29999924,243.8999939,174.8999939,175,174.3999939,174.8000031
2026-04-23 16:49:00+00,70.5,45.40000153,242.3999939,174.8999939,174.8000031,175.1999969,174.8999939
2026-04-23 16:48:00+00,67.80000305,44.70000076,241.6999969,175,175,175.1000061,175
2026-04-23 16:47:00+00,67.90000153,45.59999847,241.1999969,175.1999969,175.1000061,175.1999969,175.1999969
2026-04-23 16:46:00+00,74,49.29999924,242.3999939,175.1999969,175.1000061,174.3999939,175.1999969
2026-04-23 16:45:00+00,70.09999847,46.59999847,243.1999969,175,175,173.5,175
2026-04-23 16:44:00+00,67.59999847,45.09999847,243.1000061,174.8000031,175,174,175
2026-04-23 16:43:00+00,71.5,45.70000076,243,174.8999939,175,174.3999939,175
2026-04-23 16:42:00+00,77.19999695,48.09999847,241.8999939,175.1999969,174.8999939,176,175
2026-04-23 16:41:00+00,66.40000153,44.79999924,240.8000031,175,174.8000031,174.8999939,175
2026-04-23 16:40:00+00,66.90000153,45.29999924,241.1000061,175,174.8000031,174.5,175
