window_id,start_time,end_time,center_time,phase_label,phase_reason,stable_quality_pass,stable_run_candidate,phase_segment_id
1,2026-02-16 07:05:36+00:00,2026-02-16 07:19:36+00:00,2026-02-16 07:12:36+00:00,off,speed and load remain near zero across most of the window,True,False,1
2,2026-02-16 07:10:36+00:00,2026-02-16 07:24:37+00:00,2026-02-16 07:17:36+00:00,off,speed and load remain near zero across most of the window,True,False,1
3,2026-02-16 07:15:36+00:00,2026-02-16 07:29:37+00:00,2026-02-16 07:22:37+00:00,off,speed and load remain near zero across most of the window,True,False,1
4,2026-02-16 07:20:36+00:00,2026-02-16 07:34:37+00:00,2026-02-16 07:27:37+00:00,off,speed and load remain near zero across most of the window,False,False,1
5,2026-02-16 07:25:37+00:00,2026-02-16 07:39:37+00:00,2026-02-16 07:32:37+00:00,off,speed and load remain near zero across most of the window,False,False,1
6,2026-02-16 07:30:37+00:00,2026-02-16 07:44:37+00:00,2026-02-16 07:37:37+00:00,off,speed and load remain near zero across most of the window,True,False,1
7,2026-02-16 07:35:37+00:00,2026-02-16 07:49:38+00:00,2026-02-16 07:42:37+00:00,off,speed and load remain near zero across most of the window,False,False,1
8,2026-02-16 07:40:37+00:00,2026-02-16 07:54:38+00:00,2026-02-16 07:47:37+00:00,off,speed and load remain near zero across most of the window,False,False,1
9,2026-02-16 07:45:37+00:00,2026-02-16 07:59:38+00:00,2026-02-16 07:52:38+00:00,off,speed and load remain near zero across most of the window,False,False,1
10,2026-02-16 07:50:38+00:00,2026-02-16 08:04:38+00:00,2026-02-16 07:57:38+00:00,off,speed and load remain near zero across most of the window,True,False,1
11,2026-02-16 07:55:38+00:00,2026-02-16 08:09:38+00:00,2026-02-16 08:02:38+00:00,off,speed and load remain near zero across most of the window,True,False,1
12,2026-02-16 08:00:38+00:00,2026-02-16 08:14:38+00:00,2026-02-16 08:07:38+00:00,off,speed and load remain near zero across most of the window,False,False,1
13,2026-02-16 08:05:38+00:00,2026-02-16 08:18:39+00:00,2026-02-16 08:12:38+00:00,off,speed and load remain near zero across most of the window,False,False,1
14,2026-02-16 08:10:38+00:00,2026-02-16 08:23:39+00:00,2026-02-16 08:16:39+00:00,off,speed and load remain near zero across most of the window,False,False,1
15,2026-02-16 08:14:39+00:00,2026-02-16 08:28:39+00:00,2026-02-16 08:21:39+00:00,off,speed and load remain near zero across most of the window,False,False,1
16,2026-02-16 08:19:39+00:00,2026-02-16 08:33:39+00:00,2026-02-16 08:26:39+00:00,off,speed and load remain near zero across most of the window,False,False,1
17,2026-02-16 08:24:39+00:00,2026-02-16 08:38:39+00:00,2026-02-16 08:31:39+00:00,off,speed and load remain near zero across most of the window,True,False,1
18,2026-02-16 08:29:39+00:00,2026-02-16 08:42:40+00:00,2026-02-16 08:36:39+00:00,off,speed and load remain near zero across most of the window,True,False,1
19,2026-02-16 08:34:39+00:00,2026-02-16 08:47:40+00:00,2026-02-16 08:41:39+00:00,off,speed and load remain near zero across most of the window,True,False,1
20,2026-02-16 08:39:39+00:00,2026-02-16 08:52:40+00:00,2026-02-16 08:45:40+00:00,off,speed and load remain near zero across most of the window,True,False,1
21,2026-02-16 08:43:40+00:00,2026-02-16 08:57:40+00:00,2026-02-16 08:50:40+00:00,transition,"window sits between off, ramp, and stable operating regimes",True,False,2
22,2026-02-16 08:48:40+00:00,2026-02-16 09:02:40+00:00,2026-02-16 08:55:40+00:00,ramp_up,screw speed rises meaningfully across the window,True,False,3
23,2026-02-16 08:53:40+00:00,2026-02-16 09:07:40+00:00,2026-02-16 09:00:40+00:00,ramp_up,screw speed rises meaningfully across the window,False,False,3
24,2026-02-16 08:58:40+00:00,2026-02-16 09:11:41+00:00,2026-02-16 09:05:40+00:00,ramp_up,screw speed rises meaningfully across the window,False,False,3
25,2026-02-16 09:03:40+00:00,2026-02-16 09:16:41+00:00,2026-02-16 09:09:41+00:00,ramp_up,screw speed rises meaningfully across the window,False,False,3
26,2026-02-16 09:08:40+00:00,2026-02-16 09:21:41+00:00,2026-02-16 09:14:41+00:00,ramp_up,screw speed rises meaningfully across the window,False,False,3
27,2026-02-16 09:12:41+00:00,2026-02-16 09:26:41+00:00,2026-02-16 09:19:41+00:00,ramp_up,screw speed rises meaningfully across the window,False,False,3
28,2026-02-16 09:17:41+00:00,2026-02-16 09:31:41+00:00,2026-02-16 09:24:41+00:00,ramp_down,screw speed falls meaningfully across the window,False,False,4
29,2026-02-16 09:22:41+00:00,2026-02-16 09:36:42+00:00,2026-02-16 09:29:41+00:00,transition,"window sits between off, ramp, and stable operating regimes",False,False,5
30,2026-02-16 09:27:41+00:00,2026-02-16 09:41:42+00:00,2026-02-16 09:34:42+00:00,ramp_up,screw speed rises meaningfully across the window,False,False,6
31,2026-02-16 09:32:41+00:00,2026-02-16 09:46:42+00:00,2026-02-16 09:39:42+00:00,ramp_up,screw speed rises meaningfully across the window,False,False,6
32,2026-02-16 09:37:42+00:00,2026-02-16 09:51:42+00:00,2026-02-16 09:44:42+00:00,stable_run,"speed, load, pressure, and temperature stay near a local plateau",True,True,7
33,2026-02-16 09:42:42+00:00,2026-02-16 09:56:42+00:00,2026-02-16 09:49:42+00:00,stable_run,"speed, load, pressure, and temperature stay near a local plateau",True,True,7
34,2026-02-16 09:47:42+00:00,2026-02-16 10:01:43+00:00,2026-02-16 09:54:42+00:00,stable_run,"speed, load, pressure, and temperature stay near a local plateau",True,True,7
35,2026-02-16 09:52:42+00:00,2026-02-16 10:06:43+00:00,2026-02-16 09:59:42+00:00,stable_run,"speed, load, pressure, and temperature stay near a local plateau",True,True,7
36,2026-02-16 09:57:42+00:00,2026-02-16 10:11:43+00:00,2026-02-16 10:04:43+00:00,stable_run,"speed, load, pressure, and temperature stay near a local plateau",True,True,7
37,2026-02-16 10:02:43+00:00,2026-02-16 10:16:43+00:00,2026-02-16 10:09:43+00:00,stable_run,"speed, load, pressure, and temperature stay near a local plateau",False,False,7
