column_name,invalid_count,nan_replacement_count,outlier_count,interpolated_count
Val_1,0,0,166,0
Val_2,0,0,0,0
Val_3,0,0,0,0
Val_4,0,0,79,0
Val_5,0,0,306,0
Val_6,0,0,90,0
Val_7,0,0,525,0
Val_8,0,0,397,0
Val_9,0,0,87,0
Val_10,0,0,64,0
Val_11,0,0,57,0
Val_12,0,0,0,0
Val_14,0,0,0,0
Val_15,0,0,0,0
Val_19,0,0,0,0
Val_20,0,0,37,0
Val_21,0,0,0,0
Val_22,0,0,0,0
Val_23,0,0,0,0
Val_27,0,0,54,0
Val_28,0,0,60,0
Val_29,0,0,26,0
Val_30,0,0,82,0
Val_31,0,0,68,0
Val_32,0,0,38,0
Val_33,0,0,0,0
Val_34,0,0,0,0
Val_35,0,0,0,0
Val_36,0,0,0,0
Val_37,0,0,0,0
Val_38,85,85,16,0
Val_39,0,0,240,0
Val_40,0,0,2226,0
Val_41,0,0,0,0
Val_42,0,0,169,0
Val_43,0,0,1274,0
Val_44,0,0,645,0
Val_45,0,0,474,0
Val_46,46,46,195,0
Val_47,320,320,355,0
Val_48,31,31,848,0
