column_name,count,min,max,mean,std,pct_zero,pct_negative,n_unique,change_ratio,lag1_autocorr,median_abs_step,mean_abs_step,longest_constant_run,status,guessed_type,confidence,reason,role_group,nonnegative_expected,negative_value_policy,nan_replacement_count
Val_1,30858,0.0,138.300003,67.67583770794211,49.71831438347665,21.083673601659214,0.0,598,0.7819690193790914,0.9988170462413906,0.7000050000000044,1.3917587729064071,94,ACTIVE,screw_speed_actual_candidate,high,"0-138 range, immediate ON/OFF response, strongest primary production signal",key_process,True,replace_lt_0_with_NaN,0
Val_2,30858,18.0,53.0,36.258312269103634,7.500600040602244,0.0,0.0,36,0.07732192624278955,0.999222871651541,0.0,0.07991703665294747,872,ACTIVE,slow_aux_temperature_or_environment,low,"18-53 range, very smooth, low-variance auxiliary slow process channel",auxiliary_slow,True,replace_lt_0_with_NaN,0
Val_3,30858,24.0,86.0,59.052401322185496,22.135962848977712,0.0,0.0,63,0.26100200920344807,0.9997198851142539,0.0,0.2649641896490261,272,ACTIVE,slow_process_setting_or_aux_measure,low,"24-86 range, slow behavior, correlates with Val_33/Val_34 but not a key fast process variable",auxiliary_slow,True,replace_lt_0_with_NaN,0
Val_4,30858,0.0,15.0100002,6.835828611263484,4.9290008820654565,0.204160995527902,0.0,112,0.7453820727202022,0.9990779155422835,0.010000200000000348,0.021964913585346014,29,ACTIVE,drive_frequency_or_aux_speed,medium,"0-15 range, immediate ON/OFF response, tightly coupled to Val_1 but lower dynamic range",key_process,True,replace_lt_0_with_NaN,0
Val_5,30858,0.0,91.6999969,44.2334823908964,32.50866700695779,34.30552855013287,0.0,440,0.6163717674509042,0.9993256219984448,0.29999540000000025,0.5700748522636679,3360,ACTIVE,motor_load_or_current_candidate,high,"0-91.7 range, immediate ON/OFF response, strongest short-term coupling with Val_1 among load candidates",key_process,True,replace_lt_0_with_NaN,0
Val_6,30858,2.0,402.0,249.2768974488781,180.3489821957853,0.0,0.0,826,0.6553567956445654,0.9997421273737258,0.40002400000003036,0.8690346376971191,1229,ACTIVE,melt_pressure_candidate,high,"2-402 range, collapses to low floor on stop, tracks production/load strongly",key_process,True,replace_lt_0_with_NaN,0
Val_7,30858,24.2000008,187.5,131.30053475916782,63.96833205770798,0.0,0.0,1363,0.6462505671138765,0.9999544763462481,0.10000600000000759,0.19989969926110787,86,ACTIVE,temperature_zone_candidate,high,"24-187 range, smooth heating/cooling, strong thermal inertia",temperature,True,replace_lt_0_with_NaN,0
Val_8,30858,24.6000004,185.699997,131.9348467312593,63.347999860753205,0.0,0.0,1417,0.6332231512087627,0.999970512539883,0.10000600000000759,0.20789126919337597,112,ACTIVE,temperature_zone_candidate,high,"25-186 range, smooth heating/cooling, strong thermal inertia",temperature,True,replace_lt_0_with_NaN,0
Val_9,30858,24.7999992,183.300003,131.09178159444554,63.64657344739357,0.0,0.0,1310,0.45443645083932854,0.9999809940581731,0.0,0.10090123831869631,118,ACTIVE,temperature_zone_candidate,high,"25-183 range, smooth heating/cooling, strong thermal inertia",temperature,True,replace_lt_0_with_NaN,0
Val_10,30858,22.5,179.600006,128.30549616552273,63.840010597144285,0.0,0.0,1263,0.5859420571650787,0.9999775127063918,0.0999984999999981,0.1382061515669065,88,ACTIVE,temperature_zone_candidate,high,"22.5-180 range, smooth heating/cooling, strong thermal inertia",temperature,True,replace_lt_0_with_NaN,0
